source_id,split,pool
ppr10k_0191_a,train,ppr10k
ppr10k_0193_a,train,ppr10k
ppr10k_0198_a,train,ppr10k
ppr10k_0200_a,train,ppr10k
ppr10k_0205_a,train,ppr10k
ppr10k_0209_a,train,ppr10k
ppr10k_0211_a,train,ppr10k
ppr10k_0212_a,train,ppr10k
ppr10k_0213_a,train,ppr10k
ppr10k_0214_a,train,ppr10k
ppr10k_0215_a,train,ppr10k
ppr10k_0217_a,train,ppr10k
ppr10k_0218_a,train,ppr10k
ppr10k_0220_a,train,ppr10k
ppr10k_0221_a,train,ppr10k
ppr10k_0223_a,train,ppr10k
ppr10k_0225_a,train,ppr10k
ppr10k_0226_a,train,ppr10k
ppr10k_0228_a,train,ppr10k
ppr10k_0230_a,train,ppr10k
ppr10k_0233_a,train,ppr10k
ppr10k_0237_a,train,ppr10k
ppr10k_0238_c,train,ppr10k
ppr10k_0243_a,train,ppr10k
ppr10k_0245_a,train,ppr10k
ppr10k_0252_a,train,ppr10k
ppr10k_0254_a,train,ppr10k
ppr10k_0255_a,train,ppr10k
ppr10k_0260_a,train,ppr10k
ppr10k_0263_a,train,ppr10k
ppr10k_0267_a,train,ppr10k
ppr10k_0270_a,train,ppr10k
ppr10k_0279_a,train,ppr10k
ppr10k_0282_a,train,ppr10k
ppr10k_0287_a,train,ppr10k
ppr10k_0290_a,train,ppr10k
ppr10k_0292_a,train,ppr10k
ppr10k_0293_a,train,ppr10k
ppr10k_0295_a,train,ppr10k
ppr10k_0296_a,train,ppr10k
ppr10k_0298_a,test,ppr10k
ppr10k_0300_a,train,ppr10k
ppr10k_0301_a,train,ppr10k
ppr10k_0302_a,train,ppr10k
ppr10k_0305_a,train,ppr10k
ppr10k_0307_a,train,ppr10k
ppr10k_0308_a,train,ppr10k
ppr10k_0310_a,train,ppr10k
ppr10k_0312_a,train,ppr10k
ppr10k_0316_a,train,ppr10k
ppr10k_0317_a,train,ppr10k
ppr10k_0318_a,train,ppr10k
ppr10k_0323_a,train,ppr10k
ppr10k_0324_a,train,ppr10k
ppr10k_0325_a,train,ppr10k
ppr10k_0326_a,train,ppr10k
ppr10k_0328_a,train,ppr10k
ppr10k_0329_a,train,ppr10k
ppr10k_0330_a,train,ppr10k
ppr10k_0332_a,train,ppr10k
ppr10k_0336_a,train,ppr10k
ppr10k_0346_a,train,ppr10k
ppr10k_0348_a,train,ppr10k
ppr10k_0349_a,train,ppr10k
ppr10k_0351_a,train,ppr10k
ppr10k_0352_a,train,ppr10k
ppr10k_0355_a,train,ppr10k
ppr10k_0356_a,train,ppr10k
ppr10k_0357_a,train,ppr10k
ppr10k_0358_a,train,ppr10k
ppr10k_0368_a,train,ppr10k
ppr10k_0369_c,train,ppr10k
ppr10k_0370_a,train,ppr10k
ppr10k_0371_a,train,ppr10k
ppr10k_0372_a,train,ppr10k
ppr10k_0373_a,train,ppr10k
ppr10k_0374_a,train,ppr10k
ppr10k_0375_a,train,ppr10k
ppr10k_0377_a,train,ppr10k
ppr10k_0379_a,train,ppr10k
ppr10k_0380_a,train,ppr10k
ppr10k_0381_a,train,ppr10k
ppr10k_0382_a,train,ppr10k
ppr10k_0384_a,train,ppr10k
ppr10k_0385_a,train,ppr10k
ppr10k_0387_a,train,ppr10k
ppr10k_0390_a,train,ppr10k
ppr10k_0395_a,train,ppr10k
ppr10k_0397_a,val,ppr10k
ppr10k_0399_a,test,ppr10k
ppr10k_0400_a,train,ppr10k
ppr10k_0401_a,train,ppr10k
ppr10k_0402_a,train,ppr10k
ppr10k_0403_a,train,ppr10k
ppr10k_0404_a,train,ppr10k
ppr10k_0406_a,train,ppr10k
ppr10k_0410_a,train,ppr10k
ppr10k_0411_a,val,ppr10k
ppr10k_0413_a,train,ppr10k
ppr10k_0414_a,test,ppr10k
ppr10k_0415_a,train,ppr10k
ppr10k_0416_a,train,ppr10k
ppr10k_0417_a,train,ppr10k
ppr10k_0418_a,train,ppr10k
ppr10k_0422_a,train,ppr10k
ppr10k_0425_a,train,ppr10k
ppr10k_0427_a,test,ppr10k
ppr10k_0428_a,train,ppr10k
ppr10k_0429_a,train,ppr10k
ppr10k_0431_a,train,ppr10k
ppr10k_0432_a,train,ppr10k
ppr10k_0434_a,train,ppr10k
ppr10k_0437_a,train,ppr10k
ppr10k_0440_a,train,ppr10k
ppr10k_0442_a,train,ppr10k
ppr10k_0458_a,train,ppr10k
ppr10k_0460_a,train,ppr10k
ppr10k_0462_a,train,ppr10k
ppr10k_0463_a,train,ppr10k
ppr10k_0469_a,train,ppr10k
ppr10k_0473_a,train,ppr10k
ppr10k_0474_a,train,ppr10k
ppr10k_0477_a,train,ppr10k
ppr10k_0479_a,train,ppr10k
ppr10k_0483_a,train,ppr10k
ppr10k_0485_a,train,ppr10k
ppr10k_0486_a,train,ppr10k
ppr10k_0487_a,train,ppr10k
ppr10k_0489_b,train,ppr10k
ppr10k_0492_a,train,ppr10k
ppr10k_0493_a,train,ppr10k
ppr10k_0495_a,train,ppr10k
ppr10k_0496_a,train,ppr10k
ppr10k_0497_a,test,ppr10k
ppr10k_0498_a,test,ppr10k
ppr10k_0499_a,val,ppr10k
ppr10k_0503_a,train,ppr10k
ppr10k_0505_a,train,ppr10k
ppr10k_0507_a,train,ppr10k
ppr10k_0511_a,test,ppr10k
ppr10k_0512_a,test,ppr10k
ppr10k_0513_a,train,ppr10k
ppr10k_0514_a,train,ppr10k
ppr10k_0516_a,train,ppr10k
ppr10k_0524_a,val,ppr10k
ppr10k_0527_a,val,ppr10k
ppr10k_0529_a,train,ppr10k
ppr10k_0530_a,train,ppr10k
ppr10k_0538_a,train,ppr10k
ppr10k_0541_a,train,ppr10k
ppr10k_0544_c,train,ppr10k
ppr10k_0546_a,train,ppr10k
ppr10k_0548_a,train,ppr10k
ppr10k_0549_a,test,ppr10k
ppr10k_0550_a,train,ppr10k
ppr10k_0551_a,train,ppr10k
ppr10k_0553_a,train,ppr10k
ppr10k_0555_a,train,ppr10k
ppr10k_0556_a,train,ppr10k
ppr10k_0560_a,train,ppr10k
ppr10k_0561_a,val,ppr10k
ppr10k_0567_a,train,ppr10k
ppr10k_0568_a,train,ppr10k
ppr10k_0573_a,train,ppr10k
ppr10k_0576_a,train,ppr10k
ppr10k_0577_a,train,ppr10k
ppr10k_0578_a,train,ppr10k
ppr10k_0579_a,val,ppr10k
ppr10k_0581_a,test,ppr10k
ppr10k_0584_a,train,ppr10k
ppr10k_0585_a,train,ppr10k
ppr10k_0586_a,train,ppr10k
ppr10k_0588_a,train,ppr10k
ppr10k_0591_a,train,ppr10k
ppr10k_0595_a,train,ppr10k
ppr10k_0596_a,train,ppr10k
ppr10k_0597_a,train,ppr10k
ppr10k_0600_a,train,ppr10k
ppr10k_0601_a,train,ppr10k
ppr10k_0609_a,train,ppr10k
ppr10k_0610_a,train,ppr10k
ppr10k_0611_a,train,ppr10k
ppr10k_0614_a,val,ppr10k
ppr10k_0616_a,train,ppr10k
ppr10k_0617_a,train,ppr10k
ppr10k_0618_a,train,ppr10k
ppr10k_0622_a,train,ppr10k
ppr10k_0623_a,train,ppr10k
ppr10k_0624_a,train,ppr10k
ppr10k_0625_a,train,ppr10k
ppr10k_0627_a,train,ppr10k
ppr10k_0628_a,train,ppr10k
ppr10k_0629_a,train,ppr10k
ppr10k_0630_a,train,ppr10k
ppr10k_0631_a,train,ppr10k
ppr10k_0632_a,train,ppr10k
ppr10k_0633_a,train,ppr10k
ppr10k_0640_a,train,ppr10k
ppr10k_0645_a,train,ppr10k
ppr10k_0646_a,train,ppr10k
ppr10k_0647_a,train,ppr10k
ppr10k_0648_a,train,ppr10k
ppr10k_0649_a,train,ppr10k
ppr10k_0651_a,test,ppr10k
ppr10k_0652_a,val,ppr10k
ppr10k_0654_a,val,ppr10k
ppr10k_0655_a,train,ppr10k
ppr10k_0656_a,train,ppr10k
ppr10k_0657_a,train,ppr10k
ppr10k_0658_a,train,ppr10k
ppr10k_0660_a,train,ppr10k
ppr10k_0661_a,train,ppr10k
ppr10k_0663_a,train,ppr10k
ppr10k_0664_a,train,ppr10k
ppr10k_0666_a,train,ppr10k
ppr10k_0667_a,train,ppr10k
ppr10k_0675_a,train,ppr10k
ppr10k_0676_a,train,ppr10k
ppr10k_0678_a,train,ppr10k
ppr10k_0679_a,val,ppr10k
ppr10k_0681_a,train,ppr10k
ppr10k_0682_a,train,ppr10k
ppr10k_0684_a,train,ppr10k
ppr10k_0686_a,train,ppr10k
ppr10k_0687_a,train,ppr10k
ppr10k_0697_a,train,ppr10k
ppr10k_0698_c,train,ppr10k
ppr10k_0701_a,train,ppr10k
ppr10k_0703_a,train,ppr10k
ppr10k_0704_a,test,ppr10k
ppr10k_0705_a,train,ppr10k
ppr10k_0710_a,train,ppr10k
ppr10k_0713_a,train,ppr10k
ppr10k_0716_b,train,ppr10k
ppr10k_0719_a,train,ppr10k
ppr10k_0721_a,train,ppr10k
ppr10k_0725_a,train,ppr10k
ppr10k_0726_a,train,ppr10k
ppr10k_0728_a,train,ppr10k
ppr10k_0729_a,train,ppr10k
ppr10k_0732_a,train,ppr10k
ppr10k_0738_a,train,ppr10k
ppr10k_0740_a,train,ppr10k
ppr10k_0741_a,train,ppr10k
ppr10k_0743_a,train,ppr10k
ppr10k_0747_a,train,ppr10k
ppr10k_0749_a,train,ppr10k
ppr10k_0754_a,train,ppr10k
ppr10k_0757_a,train,ppr10k
ppr10k_0760_a,train,ppr10k
ppr10k_0761_a,train,ppr10k
ppr10k_0762_a,train,ppr10k
ppr10k_0766_a,train,ppr10k
ppr10k_0767_a,train,ppr10k
ppr10k_0770_a,train,ppr10k
ppr10k_0772_a,train,ppr10k
ppr10k_0775_a,train,ppr10k
ppr10k_0776_a,train,ppr10k
ppr10k_0778_a,train,ppr10k
ppr10k_0779_a,train,ppr10k
ppr10k_0780_a,train,ppr10k
ppr10k_0787_a,train,ppr10k
ppr10k_0788_a,train,ppr10k
ppr10k_0790_a,test,ppr10k
ppr10k_0791_a,val,ppr10k
ppr10k_0793_a,train,ppr10k
ppr10k_0794_a,train,ppr10k
ppr10k_0798_a,train,ppr10k
ppr10k_0801_a,train,ppr10k
ppr10k_0803_a,val,ppr10k
ppr10k_0804_a,train,ppr10k
ppr10k_0805_a,val,ppr10k
ppr10k_0806_a,train,ppr10k
ppr10k_0807_a,train,ppr10k
ppr10k_0809_a,train,ppr10k
ppr10k_0811_a,train,ppr10k
ppr10k_0815_a,val,ppr10k
ppr10k_0817_a,train,ppr10k
ppr10k_0820_a,train,ppr10k
ppr10k_0821_a,train,ppr10k
ppr10k_0824_a,train,ppr10k
ppr10k_0825_a,train,ppr10k
ppr10k_0826_a,train,ppr10k
ppr10k_0829_a,train,ppr10k
ppr10k_0830_a,test,ppr10k
ppr10k_0831_a,train,ppr10k
ppr10k_0832_a,train,ppr10k
ppr10k_0833_a,train,ppr10k
ppr10k_0834_a,train,ppr10k
ppr10k_0841_a,train,ppr10k
ppr10k_0842_a,train,ppr10k
ppr10k_0844_a,train,ppr10k
ppr10k_0845_a,train,ppr10k
ppr10k_0846_a,train,ppr10k
ppr10k_0853_a,train,ppr10k
ppr10k_0855_a,test,ppr10k
ppr10k_0858_a,train,ppr10k
ppr10k_0859_a,train,ppr10k
ppr10k_0860_a,val,ppr10k
ppr10k_0863_a,train,ppr10k
ppr10k_0864_a,train,ppr10k
ppr10k_0867_a,test,ppr10k
ppr10k_0868_a,train,ppr10k
ppr10k_0871_a,train,ppr10k
ppr10k_0873_a,train,ppr10k
ppr10k_0875_a,train,ppr10k
ppr10k_0879_a,train,ppr10k
ppr10k_0881_a,train,ppr10k
ppr10k_0882_a,train,ppr10k
ppr10k_0883_a,train,ppr10k
ppr10k_0887_a,train,ppr10k
ppr10k_0889_a,train,ppr10k
ppr10k_0890_a,test,ppr10k
ppr10k_0894_a,train,ppr10k
ppr10k_0895_a,train,ppr10k
ppr10k_0896_a,val,ppr10k
ppr10k_0900_a,train,ppr10k
ppr10k_0903_a,train,ppr10k
ppr10k_0904_a,train,ppr10k
ppr10k_0905_a,train,ppr10k
ppr10k_0907_a,train,ppr10k
ppr10k_0908_a,train,ppr10k
ppr10k_0909_a,train,ppr10k
ppr10k_0910_a,train,ppr10k
ppr10k_0911_a,train,ppr10k
ppr10k_0912_a,train,ppr10k
ppr10k_0914_a,train,ppr10k
ppr10k_0915_a,train,ppr10k
ppr10k_0922_a,train,ppr10k
ppr10k_0923_a,train,ppr10k
ppr10k_0924_a,train,ppr10k
ppr10k_0925_a,train,ppr10k
ppr10k_0926_a,train,ppr10k
ppr10k_0934_a,train,ppr10k
ppr10k_0935_a,train,ppr10k
ppr10k_0937_a,train,ppr10k
ppr10k_0938_a,train,ppr10k
ppr10k_0939_a,train,ppr10k
ppr10k_0940_a,train,ppr10k
ppr10k_0941_a,train,ppr10k
ppr10k_0943_a,train,ppr10k
ppr10k_0945_a,train,ppr10k
ppr10k_0946_a,train,ppr10k
ppr10k_0947_a,val,ppr10k
ppr10k_0948_a,val,ppr10k
ppr10k_0949_a,train,ppr10k
ppr10k_0951_a,train,ppr10k
ppr10k_0952_a,train,ppr10k
ppr10k_0960_a,val,ppr10k
ppr10k_0962_a,test,ppr10k
ppr10k_0963_a,train,ppr10k
ppr10k_0964_a,train,ppr10k
ppr10k_0965_a,train,ppr10k
ppr10k_0967_a,train,ppr10k
ppr10k_0968_a,train,ppr10k
ppr10k_0969_a,train,ppr10k
ppr10k_0973_a,train,ppr10k
ppr10k_0979_a,train,ppr10k
ppr10k_0983_a,train,ppr10k
ppr10k_0986_a,train,ppr10k
ppr10k_0989_a,train,ppr10k
ppr10k_0990_a,train,ppr10k
ppr10k_0991_a,train,ppr10k
ppr10k_0992_a,train,ppr10k
ppr10k_0993_a,train,ppr10k
ppr10k_0994_a,train,ppr10k
ppr10k_0995_a,train,ppr10k
ppr10k_0997_a,train,ppr10k
ppr10k_1001_a,train,ppr10k
ppr10k_1002_a,train,ppr10k
ppr10k_1004_a,train,ppr10k
ppr10k_1005_a,val,ppr10k
ppr10k_1007_a,train,ppr10k
ppr10k_1009_a,train,ppr10k
ppr10k_1010_a,train,ppr10k
ppr10k_1012_a,train,ppr10k
ppr10k_1017_a,train,ppr10k
ppr10k_1021_a,train,ppr10k
ppr10k_1022_a,train,ppr10k
ppr10k_1023_a,train,ppr10k
ppr10k_1024_a,train,ppr10k
ppr10k_1028_a,train,ppr10k
ppr10k_1029_a,train,ppr10k
ppr10k_1030_a,train,ppr10k
ppr10k_1031_a,train,ppr10k
ppr10k_1033_a,train,ppr10k
ppr10k_1034_a,train,ppr10k
ppr10k_1036_a,train,ppr10k
ppr10k_1038_a,train,ppr10k
ppr10k_1041_a,train,ppr10k
ppr10k_1044_a,train,ppr10k
ppr10k_1046_a,val,ppr10k
ppr10k_1047_a,train,ppr10k
ppr10k_1055_c,val,ppr10k
ppr10k_1057_a,train,ppr10k
ppr10k_1058_a,train,ppr10k
ppr10k_1061_a,test,ppr10k
ppr10k_1062_a,train,ppr10k
ppr10k_1063_a,train,ppr10k
ppr10k_1065_a,train,ppr10k
ppr10k_1066_a,train,ppr10k
ppr10k_1068_a,train,ppr10k
ppr10k_1069_a,train,ppr10k
ppr10k_1071_a,train,ppr10k
ppr10k_1072_a,train,ppr10k
ppr10k_1073_a,train,ppr10k
ppr10k_1075_a,train,ppr10k
ppr10k_1077_a,train,ppr10k
ppr10k_1079_a,train,ppr10k
ppr10k_1080_a,train,ppr10k
ppr10k_1084_a,train,ppr10k
ppr10k_1086_a,train,ppr10k
ppr10k_1089_a,train,ppr10k
ppr10k_1090_a,train,ppr10k
ppr10k_1091_a,test,ppr10k
ppr10k_1092_a,train,ppr10k
ppr10k_1093_a,train,ppr10k
ppr10k_1096_a,train,ppr10k
ppr10k_1097_a,train,ppr10k
ppr10k_1099_a,train,ppr10k
ppr10k_1100_a,train,ppr10k
ppr10k_1101_a,train,ppr10k
ppr10k_1105_a,train,ppr10k
ppr10k_1106_a,train,ppr10k
ppr10k_1107_a,train,ppr10k
ppr10k_1108_a,train,ppr10k
ppr10k_1110_b,train,ppr10k
ppr10k_1113_a,train,ppr10k
ppr10k_1115_a,train,ppr10k
ppr10k_1116_a,train,ppr10k
ppr10k_1119_a,train,ppr10k
ppr10k_1120_a,train,ppr10k
ppr10k_1124_a,train,ppr10k
ppr10k_1125_a,train,ppr10k
ppr10k_1126_a,train,ppr10k
ppr10k_1127_a,train,ppr10k
ppr10k_1128_a,train,ppr10k
ppr10k_1130_a,train,ppr10k
ppr10k_1132_a,train,ppr10k
ppr10k_1133_a,train,ppr10k
ppr10k_1135_a,train,ppr10k
ppr10k_1136_a,train,ppr10k
ppr10k_1138_a,train,ppr10k
ppr10k_1139_a,train,ppr10k
ppr10k_1140_a,train,ppr10k
ppr10k_1143_a,train,ppr10k
ppr10k_1145_a,train,ppr10k
ppr10k_1146_a,train,ppr10k
ppr10k_1148_a,train,ppr10k
ppr10k_1150_a,train,ppr10k
ppr10k_1151_a,train,ppr10k
ppr10k_1153_a,train,ppr10k
ppr10k_1157_a,train,ppr10k
ppr10k_1159_a,train,ppr10k
ppr10k_1160_a,train,ppr10k
ppr10k_1161_a,train,ppr10k
ppr10k_1164_a,train,ppr10k
ppr10k_1166_a,train,ppr10k
ppr10k_1167_a,train,ppr10k
ppr10k_1168_a,train,ppr10k
ppr10k_1169_a,train,ppr10k
ppr10k_1175_a,test,ppr10k
ppr10k_1176_c,train,ppr10k
ppr10k_1178_a,train,ppr10k
ppr10k_1180_a,val,ppr10k
ppr10k_1181_a,train,ppr10k
ppr10k_1182_a,train,ppr10k
ppr10k_1185_a,train,ppr10k
ppr10k_1187_a,train,ppr10k
ppr10k_1188_a,train,ppr10k
ppr10k_1190_a,train,ppr10k
ppr10k_1193_a,train,ppr10k
ppr10k_1194_a,train,ppr10k
ppr10k_1196_a,val,ppr10k
ppr10k_1199_a,val,ppr10k
ppr10k_1200_a,train,ppr10k
ppr10k_1201_a,train,ppr10k
ppr10k_1202_a,train,ppr10k
ppr10k_1203_a,val,ppr10k
ppr10k_1204_a,train,ppr10k
ppr10k_1206_a,train,ppr10k
ppr10k_1207_a,train,ppr10k
ppr10k_1208_a,train,ppr10k
ppr10k_1209_a,train,ppr10k
ppr10k_1211_a,train,ppr10k
ppr10k_1212_a,train,ppr10k
ppr10k_1219_a,val,ppr10k
ppr10k_1222_a,train,ppr10k
ppr10k_1224_a,train,ppr10k
ppr10k_1226_a,train,ppr10k
ppr10k_1229_a,train,ppr10k
ppr10k_1230_a,train,ppr10k
ppr10k_1235_a,train,ppr10k
ppr10k_1241_a,train,ppr10k
ppr10k_1244_a,train,ppr10k
ppr10k_1245_a,train,ppr10k
ppr10k_1246_a,train,ppr10k
ppr10k_1249_a,train,ppr10k
ppr10k_1250_a,train,ppr10k
ppr10k_1252_a,train,ppr10k
ppr10k_1253_a,train,ppr10k
ppr10k_1259_a,train,ppr10k
ppr10k_1260_a,train,ppr10k
ppr10k_1266_a,train,ppr10k
ppr10k_1270_a,train,ppr10k
ppr10k_1271_a,train,ppr10k
ppr10k_1278_a,train,ppr10k
ppr10k_1282_a,train,ppr10k
ppr10k_1283_a,train,ppr10k
ppr10k_1286_a,train,ppr10k
ppr10k_1287_a,train,ppr10k
ppr10k_1293_a,train,ppr10k
ppr10k_1295_a,train,ppr10k
ppr10k_1296_a,train,ppr10k
ppr10k_1297_a,train,ppr10k
ppr10k_1299_a,train,ppr10k
ppr10k_1301_a,train,ppr10k
ppr10k_1302_a,train,ppr10k
ppr10k_1304_a,train,ppr10k
ppr10k_1306_a,train,ppr10k
ppr10k_1307_a,train,ppr10k
ppr10k_1308_a,train,ppr10k
ppr10k_1313_a,train,ppr10k
ppr10k_1315_a,train,ppr10k
ppr10k_1319_b,train,ppr10k
ppr10k_1321_a,train,ppr10k
ppr10k_1322_c,train,ppr10k
ppr10k_1323_a,train,ppr10k
ppr10k_1324_a,train,ppr10k
ppr10k_1325_a,val,ppr10k
ppr10k_1327_a,train,ppr10k
ppr10k_1328_a,train,ppr10k
ppr10k_1331_a,val,ppr10k
ppr10k_1334_a,train,ppr10k
ppr10k_1336_a,train,ppr10k
ppr10k_1337_a,train,ppr10k
ppr10k_1338_a,train,ppr10k
ppr10k_1339_a,train,ppr10k
ppr10k_1342_a,train,ppr10k
ppr10k_1345_a,train,ppr10k
ppr10k_1347_a,test,ppr10k
ppr10k_1348_a,train,ppr10k
ppr10k_1350_a,train,ppr10k
ppr10k_1352_a,train,ppr10k
ppr10k_1354_a,test,ppr10k
ppr10k_1362_a,val,ppr10k
ppr10k_1364_c,train,ppr10k
ppr10k_1366_a,train,ppr10k
ppr10k_1367_a,train,ppr10k
ppr10k_1368_a,train,ppr10k
ppr10k_1374_a,train,ppr10k
ppr10k_1375_a,train,ppr10k
ppr10k_1376_a,train,ppr10k
ppr10k_1380_a,train,ppr10k
ppr10k_1381_a,train,ppr10k
ppr10k_1382_a,train,ppr10k
ppr10k_1383_a,train,ppr10k
ppr10k_1384_a,train,ppr10k
ppr10k_1385_a,train,ppr10k
ppr10k_1388_a,train,ppr10k
ppr10k_1390_a,train,ppr10k
ppr10k_1391_a,train,ppr10k
ppr10k_1393_a,train,ppr10k
ppr10k_1394_a,train,ppr10k
ppr10k_1395_a,train,ppr10k
ppr10k_1396_a,train,ppr10k
ppr10k_1397_a,train,ppr10k
ppr10k_1399_a,train,ppr10k
ppr10k_1400_c,train,ppr10k
ppr10k_1403_a,train,ppr10k
ppr10k_1404_a,train,ppr10k
ppr10k_1406_a,train,ppr10k
ppr10k_1407_a,train,ppr10k
ppr10k_1411_a,train,ppr10k
ppr10k_1412_a,train,ppr10k
ppr10k_1413_a,train,ppr10k
ppr10k_1414_a,train,ppr10k
ppr10k_1418_a,train,ppr10k
ppr10k_1419_a,train,ppr10k
ppr10k_1420_a,val,ppr10k
ppr10k_1421_a,train,ppr10k
ppr10k_1426_a,train,ppr10k
ppr10k_1427_a,train,ppr10k
ppr10k_1428_a,train,ppr10k
ppr10k_1436_a,train,ppr10k
ppr10k_1439_a,train,ppr10k
ppr10k_1441_a,train,ppr10k
ppr10k_1443_a,train,ppr10k
ppr10k_1446_a,train,ppr10k
ppr10k_1447_a,train,ppr10k
ppr10k_1448_a,train,ppr10k
ppr10k_1453_a,train,ppr10k
ppr10k_1459_a,train,ppr10k
ppr10k_1461_a,train,ppr10k
ppr10k_1462_a,train,ppr10k
ppr10k_1463_a,train,ppr10k
ppr10k_1467_a,train,ppr10k
ppr10k_1468_a,test,ppr10k
ppr10k_1469_a,train,ppr10k
ppr10k_1472_a,train,ppr10k
ppr10k_1473_a,train,ppr10k
ppr10k_1475_a,train,ppr10k
ppr10k_1478_a,train,ppr10k
ppr10k_1481_a,train,ppr10k
ppr10k_1483_a,train,ppr10k
ppr10k_1484_a,train,ppr10k
ppr10k_1487_a,train,ppr10k
ppr10k_1488_a,train,ppr10k
ppr10k_1491_a,test,ppr10k
ppr10k_1492_a,train,ppr10k
ppr10k_1496_a,train,ppr10k
ppr10k_1498_a,train,ppr10k
ppr10k_1499_a,train,ppr10k
ppr10k_1501_a,val,ppr10k
ppr10k_1502_a,train,ppr10k
ppr10k_1503_a,train,ppr10k
ppr10k_1506_a,train,ppr10k
ppr10k_1507_a,train,ppr10k
ppr10k_1510_a,train,ppr10k
ppr10k_1513_a,train,ppr10k
ppr10k_1516_a,train,ppr10k
ppr10k_1522_a,train,ppr10k
ppr10k_1523_a,test,ppr10k
ppr10k_1525_a,train,ppr10k
ppr10k_1528_a,train,ppr10k
ppr10k_1529_a,train,ppr10k
ppr10k_1532_a,train,ppr10k
ppr10k_1533_a,train,ppr10k
ppr10k_1534_a,train,ppr10k
ppr10k_1535_a,train,ppr10k
ppr10k_1536_a,train,ppr10k
ppr10k_1539_a,train,ppr10k
ppr10k_1540_a,train,ppr10k
ppr10k_1543_a,train,ppr10k
ppr10k_1546_a,train,ppr10k
ppr10k_1547_a,train,ppr10k
ppr10k_1548_a,test,ppr10k
ppr10k_1549_a,train,ppr10k
ppr10k_1550_c,train,ppr10k
ppr10k_1554_a,train,ppr10k
ppr10k_1555_a,train,ppr10k
ppr10k_1558_a,train,ppr10k
ppr10k_1559_a,train,ppr10k
ppr10k_1561_a,train,ppr10k
ppr10k_1562_a,train,ppr10k
ppr10k_1563_a,train,ppr10k
ppr10k_1570_a,train,ppr10k
ppr10k_1571_a,train,ppr10k
ppr10k_1572_a,train,ppr10k
ppr10k_1574_a,train,ppr10k
ppr10k_1578_a,train,ppr10k
ppr10k_1580_a,train,ppr10k
ppr10k_1582_a,train,ppr10k
ppr10k_1584_c,train,ppr10k
ppr10k_1586_a,train,ppr10k
ppr10k_1589_a,train,ppr10k
