preset_id,major,minor,split,gen
rcp_0383380ff8c84f13,青橙复古,青橙复古_05,train,0
rcp_039ad0426f21144a,胶片复古,胶片复古_00,train,0
rcp_03adbd8a9e809650,青橙胶片,青橙胶片_01,train,0
rcp_03bb98d553faf430,胶片复古,胶片复古_00,train,0
rcp_03bbcc33e06847a9,高饱和暖调,高饱和暖调_00,train,0
rcp_03beb27163c10d02,青橙胶片,青橙胶片_01,train,0
rcp_03d5e0b9baf317cc,压暗胶片,压暗胶片_02,train,0
rcp_03d6602b83161d9d,青橙暗调,青橙暗调_02,train,0
rcp_03df4bcb6bc2ac68,胶片青橙,胶片青橙_04,train,0
rcp_03e21b8fa76ecc82,高亮暖调,高亮暖调_07,train,0
rcp_03fe9c542211218e,黑白全色相,黑白全色相_00,train,0
rcp_0434d92a5f3b78e4,青橙暗调,青橙暗调_08,train,0
rcp_043b9f2dc84b97ba,低饱和冷调,低饱和冷调_01,train,0
rcp_045a31befb839a89,青橙复古,青橙复古_02,train,0
rcp_045e5d8c324c5433,青橙复古,青橙复古_02,train,0
rcp_045f46b7da68601e,高亮暖调,高亮暖调_09,train,0
rcp_047208d29526e491,青绿胶片,青绿胶片_01,train,0
rcp_048a939372dfe934,青绿胶片,青绿胶片_01,train,0
rcp_048c796db48d4f1c,品红复古,品红复古_02,train,0
rcp_04a4b8edd4a9d5df,品红复古,品红复古_02,train,0
rcp_04ad4fe7fa82b92d,品红复古,品红复古_02,train,0
rcp_04b2d7cefcfd9e93,青橙胶片,青橙胶片_00,train,0
rcp_04d3690c149600fa,暖调胶片,暖调胶片_05,train,0
rcp_0529574c3a16ff51,青橙胶片,青橙胶片_00,train,0
rcp_052d84021e28ff29,青橙胶片,青橙胶片_01,train,0
rcp_054f14ee8be0cbc6,胶片青橙,胶片青橙_04,train,0
rcp_055258e57bd12c7d,高亮冷调,高亮冷调_01,train,0
rcp_056836b703ec8393,黑白全色相,黑白全色相_00,train,0
rcp_0583e20688e0a10c,青橙暗调,青橙暗调_00,train,0
rcp_058bbeb12a8ebb20,复古暖调,复古暖调_03,train,0
rcp_059bfb4577247996,高亮复古,高亮复古_06,train,0
rcp_05a9f1c6b28b9d37,品红复古,品红复古_02,train,0
rcp_05c9959ad47e3ca1,胶片青绿,胶片青绿_00,train,0
rcp_05f4be49c2336edb,胶片复古,胶片复古_04,train,0
rcp_05fff78371b1e417,青橙胶片,青橙胶片_01,train,0
rcp_06140a35266d99e9,全色相黑白,全色相黑白_03,train,0
rcp_063b82eb0dc596b6,胶片复古,胶片复古_04,train,0
rcp_0660f2dbb12d6661,胶片复古,胶片复古_00,train,0
rcp_06874a710b8ff5f5,青橙胶片,青橙胶片_00,train,0
rcp_06bf7143f38e2ffd,高饱和暖调,高饱和暖调_00,train,0
rcp_06cdb79beafd5e8b,压暗胶片,压暗胶片_02,train,0
rcp_06ea986e90ee2782,青橙胶片,青橙胶片_01,train,0
rcp_06fa732bf04d5bd2,青绿高亮,青绿高亮_02,train,0
rcp_0705c2142a6af613,青橙胶片,青橙胶片_01,train,0
rcp_073bb0b6159593f0,低饱和复古,低饱和复古_03,train,0
rcp_0746c88a19784e71,高饱和暖调,高饱和暖调_00,train,0
rcp_074d609cd565c313,复古暖调,复古暖调_08,train,0
rcp_0751e412930a7a82,低饱和复古,低饱和复古_03,train,0
rcp_075beb1096f7ae71,低饱和复古,低饱和复古_03,train,0
rcp_0769a5c1fdea18c0,暖调复古,暖调复古_00,train,0
rcp_0769b9ab4b4488d1,压暗胶片,压暗胶片_02,train,0
rcp_07719607f72e6008,冷调高亮,冷调高亮_04,train,0
rcp_07721c058b4c584a,复古暖调,复古暖调_00,train,0
rcp_077467010642030e,青橙复古,青橙复古_02,train,0
rcp_07776b3197648401,高亮暖调,高亮暖调_02,train,0
rcp_0779897db2e04f11,青橙复古,青橙复古_05,train,0
rcp_0784d6472bb1a1ed,青橙胶片,青橙胶片_01,train,0
rcp_07a7812fc2b87f0b,复古暖调,复古暖调_03,train,0
rcp_07c2da959403b25d,复古暖调,复古暖调_11,train,0
rcp_07c34ac5079d21da,青橙高亮,青橙高亮_08,train,0
rcp_07d3412ac0b7af69,胶片复古,胶片复古_04,train,0
rcp_07f7031090b68ffa,品红复古,品红复古_02,train,0
rcp_080a6ffbbfb2c5df,低饱和复古,低饱和复古_03,train,0
rcp_081888d7418a00e8,高饱和冷调,高饱和冷调_04,train,0
rcp_083187d9de43ec9d,暖调胶片,暖调胶片_05,train,0
rcp_083d15eb43f2b27f,冷调青绿,冷调青绿_00,train,0
rcp_083dc4d6d7bf4710,冷调青绿,冷调青绿_00,train,0
rcp_086c6c23dfa1f75c,青橙胶片,青橙胶片_00,train,0
rcp_086da284ff26a009,高饱和暖调,高饱和暖调_00,train,0
rcp_08a7b2c5b85a2a8d,高亮冷调,高亮冷调_01,train,0
rcp_08a7f78dafebac0a,高亮暖调,高亮暖调_02,train,0
rcp_08c5ce01b13e73aa,复古胶片,复古胶片_03,train,0
rcp_091c0cb3d0ae2212,胶片青橙,胶片青橙_04,train,0
rcp_092bb31d70c388fa,胶片复古,胶片复古_04,train,0
rcp_0947a3c221572038,青橙胶片,青橙胶片_03,train,0
rcp_094a5871028930e0,暖调高亮,暖调高亮_01,train,0
rcp_0954f1ef1aad1441,青橙胶片,青橙胶片_01,train,0
rcp_0960f78d058338db,复古青橙,复古青橙_03,train,0
rcp_0962d403ee2d2476,暖调品红,暖调品红_01,train,0
rcp_09688558557bd90c,撞色暖调,撞色暖调_06,train,0
rcp_096de72d84f147c3,胶片青绿,胶片青绿_00,train,0
rcp_09804e6a01b5cbdc,青橙胶片,青橙胶片_00,train,0
rcp_0981b8a5b7ecc5a7,青橙胶片,青橙胶片_05,train,0
rcp_098303206f9c1085,青橙胶片,青橙胶片_01,train,0
rcp_098f0e18d7a05816,压暗胶片,压暗胶片_02,train,0
rcp_0995a119c1996427,胶片青绿,胶片青绿_00,train,0
rcp_099e1ac5ff86011e,高亮暖调,高亮暖调_02,train,0
rcp_09a8587e1de3a268,青橙复古,青橙复古_07,train,0
rcp_09ab2af98e4a7aea,胶片复古,胶片复古_04,train,0
rcp_09b6ad00432b3579,青橙胶片,青橙胶片_00,train,0
rcp_09c96415203af7f1,青橙胶片,青橙胶片_00,train,0
rcp_09d35932a02f89af,高亮暖调,高亮暖调_02,train,0
rcp_09ea4e218805b53e,高亮清透,高亮清透_01,train,0
rcp_0a0148734b419cce,青橙胶片,青橙胶片_01,train,0
rcp_0a04c21bebf8c628,青橙胶片,青橙胶片_01,train,0
rcp_0a1fe04e1914b367,青橙胶片,青橙胶片_00,train,0
rcp_0a6ca54643169a94,暖调高亮,暖调高亮_04,train,0
rcp_0a7d0e706759e811,压暗胶片,压暗胶片_02,train,0
rcp_0a91f9a4d452dd21,青橙复古,青橙复古_02,train,0
rcp_0aaf3cc7ab9f9909,高亮青绿,高亮青绿_04,train,0
rcp_0ad59be4495aa8dd,冷调高亮,冷调高亮_04,train,0
rcp_0ae73f9286a4dea7,暖调品红,暖调品红_06,train,0
rcp_0b008a7fae22db43,高饱和暖调,高饱和暖调_00,train,0
rcp_0b168b909bc8537d,高亮复古,高亮复古_05,train,0
rcp_0b1c8ca1b99ad14a,高亮暖调,高亮暖调_02,train,0
rcp_0b31b76c4288a332,高饱和暖调,高饱和暖调_00,train,0
rcp_0b320c8de499ae53,复古暖调,复古暖调_00,train,0
rcp_0b38bb68f65550dc,暖调复古,暖调复古_02,train,0
rcp_0b773c97d4c88aac,青橙复古,青橙复古_05,train,0
rcp_0b7edf8d5e691601,暖调高亮,暖调高亮_01,train,0
rcp_0b8114c7f2897a0e,低饱和复古,低饱和复古_03,train,0
rcp_0b8166eb77a2617e,胶片青橙,胶片青橙_04,train,0
rcp_0ba11efad7e1af0e,暖调高亮,暖调高亮_01,train,0
rcp_0bb3bf0f2fedde15,压暗胶片,压暗胶片_02,train,0
rcp_0bb460424a7c02bc,青橙胶片,青橙胶片_00,train,0
rcp_0bf33036920f3780,高饱和暖调,高饱和暖调_00,train,0
rcp_0c2a06c9984567b7,复古暖调,复古暖调_03,train,0
rcp_0c31840474eea23a,高亮冷调,高亮冷调_04,train,0
rcp_0c58677949b936e6,青橙复古,青橙复古_02,train,0
rcp_0c5d75a0e621fc08,青橙胶片,青橙胶片_00,train,0
rcp_0c61f999c0382002,胶片青橙,胶片青橙_04,train,0
rcp_0c6ffcdaa4027bfc,暖调复古,暖调复古_01,train,0
rcp_0cae2c8d80a39f40,暖调复古,暖调复古_04,train,0
rcp_0cb2373184390df3,青橙胶片,青橙胶片_00,train,0
rcp_0cb88193168c1f86,暖调胶片,暖调胶片_05,train,0
rcp_0cc21546de1a9d46,低饱和复古,低饱和复古_03,train,0
rcp_0cd4b4f2ff179e5c,暖调高亮,暖调高亮_04,train,0
rcp_0ce0bc158e521453,暖调胶片,暖调胶片_05,train,0
rcp_0ce62cc98f1c24b6,压暗胶片,压暗胶片_02,train,0
rcp_0cf127dacc667146,青橙复古,青橙复古_02,train,0
rcp_0d0dfe3813b537e8,胶片复古,胶片复古_00,train,0
rcp_0d1252728ded3a81,低饱和复古,低饱和复古_03,train,0
rcp_0d15edb1621ddc56,暖调复古,暖调复古_01,train,0
rcp_0d31f8c14a7d7860,低饱和复古,低饱和复古_03,train,0
rcp_0d5a2cc0adb36a30,青橙胶片,青橙胶片_00,train,0
rcp_0d5cd146e3c22fbf,胶片青橙,胶片青橙_04,train,0
rcp_0d5d97edf92adef6,高饱和暖调,高饱和暖调_00,train,0
rcp_0d684e9416b890ea,高亮清透,高亮清透_01,train,0
rcp_0d6adf4cbeb073b8,胶片青绿,胶片青绿_00,train,0
rcp_0d8fbd5c6cf8428c,压暗胶片,压暗胶片_02,train,0
rcp_0d99704cbd13478a,暖调复古,暖调复古_01,train,0
rcp_0db36d21628daea4,压暗胶片,压暗胶片_02,train,0
rcp_0dea50a3cfa0344f,暖调高亮,暖调高亮_00,train,0
rcp_0dec3f9069573bcb,青绿胶片,青绿胶片_01,train,0
rcp_0dfff2a22f082ad4,青橙胶片,青橙胶片_00,train,0
rcp_0e085593f737818b,冷调高亮,冷调高亮_04,train,0
rcp_0e1836708d01d633,青橙胶片,青橙胶片_00,train,0
rcp_0e2088ff62d70491,青橙胶片,青橙胶片_00,train,0
rcp_0e534ae2c4af8895,压暗胶片,压暗胶片_02,train,0
rcp_0e5f96feb1239777,撞色暖调,撞色暖调_06,train,0
rcp_0e613ddc30dddb0f,高饱和暖调,高饱和暖调_00,train,0
rcp_0e6e4a79177ced2c,高亮复古,高亮复古_05,train,0
rcp_0e741be445bdbe34,暖调复古,暖调复古_01,train,0
rcp_0e75619ea2ddbcea,压暗胶片,压暗胶片_02,train,0
rcp_0e7cf08de1e1a07d,暖调低饱和,暖调低饱和_08,train,0
rcp_0e9f3efbad94ab44,青橙胶片,青橙胶片_00,train,0
rcp_0ea2c814620307d5,低饱和复古,低饱和复古_03,train,0
rcp_0ebdc379c52ba145,低饱和复古,低饱和复古_03,train,0
rcp_0ec0a89a0ffa8203,复古暖调,复古暖调_03,train,0
rcp_0ed5a7b16bf85d49,青橙胶片,青橙胶片_01,train,0
rcp_0f070907e85ec271,低饱和复古,低饱和复古_03,train,0
rcp_0f536edd150d0376,高饱和暖调,高饱和暖调_00,train,0
rcp_0f76c4886e7d9b39,胶片青橙,胶片青橙_04,train,0
rcp_0f7eeda05ba047d4,高亮暖调,高亮暖调_02,train,0
rcp_0f84fa95cddd7139,黑白去色,黑白去色_02,train,0
rcp_0f9295821546bf35,黑白全色相,黑白全色相_00,train,0
rcp_0f93a523a211b2bf,青橙复古,青橙复古_02,train,0
rcp_0fb8631a3286512a,青橙胶片,青橙胶片_00,train,0
rcp_0fc0ca8a02381813,暖调品红,暖调品红_06,train,0
rcp_0fd3861e2cea8046,青橙胶片,青橙胶片_01,train,0
rcp_0fde07ca5629ef0c,青橙胶片,青橙胶片_01,train,0
rcp_1001d0351b4b51d2,高饱和暖调,高饱和暖调_00,train,0
rcp_10043d7a7099eae1,高亮暖调,高亮暖调_02,train,0
rcp_10097a646686829c,青橙胶片,青橙胶片_01,train,0
rcp_10273a52211ba65f,胶片青橙,胶片青橙_04,train,0
rcp_103567843abb14b9,青橙复古,青橙复古_02,train,0
rcp_1037fa67e3ce8642,复古暖调,复古暖调_00,train,0
rcp_10624e42bd4d8d59,青橙胶片,青橙胶片_05,train,0
rcp_106a819f33617930,复古暖调,复古暖调_03,train,0
rcp_106d4897c464b79e,低饱和复古,低饱和复古_03,train,0
rcp_107570ef89ab1a1b,高饱和暖调,高饱和暖调_00,train,0
rcp_10ba18da836ab348,撞色暖调,撞色暖调_06,train,0
rcp_10c004cb612fd4d4,青橙胶片,青橙胶片_01,train,0
rcp_10d6f79d0cc14ff9,青橙复古,青橙复古_02,train,0
rcp_10db6397a5fa669b,复古暖调,复古暖调_00,train,0
rcp_10f078c18582f7e0,暖调复古,暖调复古_01,train,0
rcp_10fd38b6c2ce8d84,低饱和复古,低饱和复古_03,train,0
rcp_111175b05ee3f283,青橙胶片,青橙胶片_01,train,0
rcp_1132c21685aec829,胶片复古,胶片复古_04,train,0
rcp_1141be9ac0ce5ddf,撞色暖调,撞色暖调_06,train,0
rcp_1151be6730e9cb3d,青橙胶片,青橙胶片_00,train,0
rcp_1194e541dc6da1f4,青橙暖调,青橙暖调_08,train,0
rcp_11ebc652d7ef2061,黑白全色相,黑白全色相_00,train,0
rcp_120de0f20f58cc53,压暗胶片,压暗胶片_02,train,0
rcp_12383b39f0beab45,高亮冷调,高亮冷调_01,train,0
rcp_124cf3c41df2d3d1,胶片青橙,胶片青橙_04,train,0
rcp_12506ab13f884b99,青橙复古,青橙复古_02,train,0
rcp_1267a97e06f464f8,高亮复古,高亮复古_06,train,0
rcp_126a3327146477da,高亮复古,高亮复古_05,train,0
rcp_1279b15fa1778c81,胶片青绿,胶片青绿_00,train,0
rcp_127a424d97ea52bb,胶片复古,胶片复古_00,train,0
rcp_1287a325f7a9b5eb,高亮清透,高亮清透_01,train,0
rcp_12a93987cc8c3394,青橙复古,青橙复古_02,train,0
rcp_12b2f62a1059cc1f,撞色暖调,撞色暖调_06,train,0
rcp_12d9f2d837ee64c4,暖调高亮,暖调高亮_00,train,0
rcp_12eabc3195d6dbd7,青橙胶片,青橙胶片_00,train,0
rcp_12fb462d636f829c,青橙胶片,青橙胶片_00,train,0
rcp_1316fc5d88c23246,暖调高亮,暖调高亮_04,train,0
rcp_13344c0664128e9f,青橙胶片,青橙胶片_00,train,0
rcp_133cf57dfa5c6247,高亮冷调,高亮冷调_03,train,0
rcp_13491c938d387388,暖调胶片,暖调胶片_05,train,0
rcp_1353cedd6fe05e99,青橙胶片,青橙胶片_01,train,0
rcp_13808b2c185ef911,黑白全色相,黑白全色相_01,train,0
rcp_13a6f7d564873638,高亮冷调,高亮冷调_01,train,0
rcp_13afff192fb8bbe8,胶片青绿,胶片青绿_00,train,0
rcp_13c9a1e66b625c1e,青橙胶片,青橙胶片_00,train,0
rcp_13d86759bd035c95,高亮清透,高亮清透_01,train,0
rcp_13e91aac2d23e8bf,青橙复古,青橙复古_05,train,0
rcp_14225196a74c6b7f,压暗胶片,压暗胶片_02,train,0
rcp_143be3e3be4d9689,胶片青橙,胶片青橙_04,train,0
rcp_144af3de0d685cbb,胶片青橙,胶片青橙_04,train,0
rcp_14586985386ffb69,低饱和复古,低饱和复古_03,train,0
rcp_145ec379a76ef984,高亮暖调,高亮暖调_02,train,0
rcp_1462fee770035311,黑白去色,黑白去色_02,train,0
rcp_148b75295b40d055,青橙胶片,青橙胶片_00,train,0
rcp_148c9b2aa73a6351,品红复古,品红复古_02,train,0
rcp_14948f2ca9711d08,低饱和复古,低饱和复古_03,train,0
rcp_149581c910d76dc7,复古胶片,复古胶片_03,train,0
rcp_14995175d091421e,低饱和复古,低饱和复古_03,train,0
rcp_14b98ed27668de14,青橙胶片,青橙胶片_01,train,0
rcp_14fa944dc6129da3,青橙胶片,青橙胶片_01,train,0
rcp_14fd95681251c6ad,品红复古,品红复古_02,train,0
rcp_1504981aa51ea9b4,胶片复古,胶片复古_04,train,0
rcp_151cdcf82b6e0eab,复古暖调,复古暖调_03,train,0
rcp_1528dfe621dd7cf0,暖调品红,暖调品红_06,train,0
rcp_1536ad2915191a19,青橙胶片,青橙胶片_01,train,0
rcp_153e872ddb3708cc,高亮复古,高亮复古_06,train,0
rcp_154402d81eab2a72,胶片青橙,胶片青橙_04,train,0
rcp_1549794dbd513ce2,青绿胶片,青绿胶片_01,train,0
rcp_154d7c543d6ca44a,黑白全色相,黑白全色相_01,train,0
rcp_154dee5d7effd616,青橙胶片,青橙胶片_00,train,0
rcp_1569b575bda65898,胶片复古,胶片复古_00,train,0
rcp_157ea288cbc237ec,高亮青绿,高亮青绿_04,train,0
rcp_15863f73083fbefd,黑白全色相,黑白全色相_00,train,0
rcp_158f9bd93e5b5934,品红复古,品红复古_02,train,0
rcp_15a4d56c7151484d,青橙暗调,青橙暗调_06,train,0
rcp_15a6fbcd5e0133ec,压暗胶片,压暗胶片_02,train,0
rcp_15b7df80805d3596,青橙胶片,青橙胶片_00,train,0
rcp_15bf187bf1637f62,青橙胶片,青橙胶片_00,train,0
rcp_15c8605b31077941,青橙胶片,青橙胶片_00,train,0
rcp_15dd0c6f435e7aa5,胶片青绿,胶片青绿_00,train,0
rcp_15deb282593fe96a,高亮复古,高亮复古_05,train,0
rcp_15f4615a35186aca,青橙胶片,青橙胶片_01,train,0
rcp_16152428dd96cca8,高亮暖调,高亮暖调_02,train,0
rcp_16209d0f1af8fa4a,暖调品红,暖调品红_01,train,0
rcp_163b56fdca2c3c91,暖调高亮,暖调高亮_01,train,0
rcp_16658d2595f02483,复古暖调,复古暖调_00,train,0
rcp_1672d24a1897bf7a,高亮清透,高亮清透_01,train,0
rcp_16788f869b0a104f,青橙胶片,青橙胶片_00,train,0
rcp_168f5c8072232f0f,高亮暖调,高亮暖调_10,train,0
rcp_16bf4ff53d2165e0,青橙胶片,青橙胶片_05,train,0
rcp_16cb74f5938130e2,压暗胶片,压暗胶片_02,train,0
rcp_16d9be52b56fac99,青橙胶片,青橙胶片_00,train,0
rcp_16e90b9100648fe5,暖调胶片,暖调胶片_05,train,0
rcp_16fe6a3ecc67ae95,青橙复古,青橙复古_02,train,0
rcp_170b4e2cda98878c,压暗胶片,压暗胶片_02,train,0
rcp_17165954dc7bdb9e,高亮清透,高亮清透_01,train,0
rcp_171d5b9a7585e8d9,青绿胶片,青绿胶片_01,train,0
rcp_1730181b2f8c1e62,胶片复古,胶片复古_00,train,0
rcp_1732c74d517810b6,低饱和复古,低饱和复古_03,train,0
rcp_1745540681f27ab1,复古胶片,复古胶片_03,train,0
rcp_176664b383d2a921,高亮清透,高亮清透_01,train,0
rcp_1766f69b57a04252,胶片青橙,胶片青橙_04,train,0
rcp_1780070c17bc6e70,胶片复古,胶片复古_00,train,0
rcp_1799a5745df1c4c5,暖调复古,暖调复古_02,train,0
rcp_17b6b531160e69b5,暖调胶片,暖调胶片_05,train,0
rcp_17b7d7adfddf990d,暖调复古,暖调复古_00,train,0
rcp_17bb2d90aaea7db7,胶片青橙,胶片青橙_04,train,0
rcp_17c2af3c65602e15,青橙胶片,青橙胶片_01,train,0
rcp_17e8c53aafdbc960,青橙复古,青橙复古_02,train,0
rcp_17e9cc41067ca858,高饱和暖调,高饱和暖调_00,train,0
rcp_17ebfcdbe99c2759,胶片青橙,胶片青橙_04,train,0
rcp_17f4e8e9ea2ff941,复古胶片,复古胶片_03,train,0
rcp_183b99be52cbabc5,青橙胶片,青橙胶片_01,train,0
rcp_183e2f7c36801dc9,暖调胶片,暖调胶片_05,train,0
rcp_184a426ea87e36dd,黑白全色相,黑白全色相_01,train,0
rcp_1855c14e1314dec0,暖调品红,暖调品红_01,train,0
rcp_185bce93cb8112eb,暖调品红,暖调品红_01,train,0
rcp_187669ed13eedf68,低饱和复古,低饱和复古_03,train,0
rcp_18968f4f928ad38d,暖调复古,暖调复古_01,train,0
rcp_18b87d49c9e9460b,暖调高亮,暖调高亮_04,train,0
rcp_18cf61ee24df508c,高亮青绿,高亮青绿_04,train,0
rcp_18d6a2c50e8dda9d,青橙暗调,青橙暗调_06,train,0
rcp_18e94749b74b0134,高饱和冷调,高饱和冷调_04,train,0
rcp_18effa5d386a37f7,冷调高亮,冷调高亮_04,train,0
rcp_190321203f11e84d,胶片复古,胶片复古_04,train,0
rcp_1934c68de02a1064,高亮复古,高亮复古_05,train,0
rcp_1938d5098a8b4509,暖调复古,暖调复古_02,train,0
rcp_1956a8ac55a44b73,胶片青橙,胶片青橙_04,train,0
rcp_19612a0aa8d04b3b,青绿高亮,青绿高亮_02,train,0
rcp_196d88b90186e0de,高饱和暖调,高饱和暖调_00,train,0
rcp_1972acb2d4d7f383,青橙胶片,青橙胶片_00,train,0
rcp_1975590ebad0b58b,青橙复古,青橙复古_07,train,0
rcp_197b1f284c9cecfb,高亮暖调,高亮暖调_02,train,0
rcp_19a617521a4e5915,高亮青绿,高亮青绿_04,train,0
rcp_19ae5af490c68965,青橙胶片,青橙胶片_00,train,0
rcp_19c680df2a1da757,胶片复古,胶片复古_04,train,0
rcp_19ef06407796e20c,暖调品红,暖调品红_06,train,0
rcp_1a08832e15d6a21f,黑白全色相,黑白全色相_01,train,0
rcp_1a0b151dd864db44,青橙胶片,青橙胶片_01,train,0
rcp_1a0d76c41f97d111,复古胶片,复古胶片_03,train,0
rcp_1a10979fe2ab2f7f,压暗胶片,压暗胶片_02,train,0
rcp_1a16b27f736be13e,低饱和复古,低饱和复古_03,train,0
rcp_1a21fdfada352d4c,青橙复古,青橙复古_02,train,0
rcp_1a2a2905334bbd97,青橙胶片,青橙胶片_01,train,0
rcp_1a2b8afbcb527321,高亮清透,高亮清透_01,train,0
rcp_1a348d3a21b65a66,压暗胶片,压暗胶片_02,train,0
rcp_1a35b049833b882c,高亮青橙,高亮青橙_07,train,0
rcp_1a3c621590e69eff,胶片复古,胶片复古_04,train,0
rcp_1a694e7335c1e9e4,暖调高亮,暖调高亮_04,train,0
rcp_1ac4ba6aa93df8df,暖调复古,暖调复古_00,train,0
rcp_1ac4f61fd8603f25,青橙胶片,青橙胶片_01,train,0
rcp_1ac940de49d4a541,暖调胶片,暖调胶片_05,train,0
rcp_1ace2762de42267a,青橙胶片,青橙胶片_00,train,0
rcp_1ae215fe284c9845,复古胶片,复古胶片_03,train,0
rcp_1af09c06bef09e4d,青橙复古,青橙复古_05,train,0
rcp_1af9ec7da189e9c7,胶片复古,胶片复古_00,train,0
rcp_1b1073444b0728fb,青橙胶片,青橙胶片_00,train,0
rcp_1b16da86788acd3a,青橙复古,青橙复古_02,train,0
rcp_1b187ac6a4b2c629,高亮清透,高亮清透_01,train,0
rcp_1b448bec0d0c2f39,青橙胶片,青橙胶片_00,train,0
rcp_1b5a441febb2ea38,黑白去色,黑白去色_02,train,0
rcp_1b5e6b309217c1a3,黑白全色相,黑白全色相_00,train,0
rcp_1b694b2f24eb7428,青橙复古,青橙复古_02,train,0
rcp_1b78876d5092c9f0,胶片复古,胶片复古_00,train,0
rcp_1b7e30788ad505e9,青橙胶片,青橙胶片_01,train,0
rcp_1b7ef5f97f0ae7b8,青橙胶片,青橙胶片_00,train,0
rcp_1b8ad95beec5d56b,青橙胶片,青橙胶片_00,train,0
rcp_1b97c5ad7b7d8e9a,压暗胶片,压暗胶片_02,train,0
rcp_1b99108d081807ca,青橙胶片,青橙胶片_00,train,0
rcp_1bba192dc198cb62,低饱和复古,低饱和复古_03,train,0
rcp_1bbf302388417ca1,青橙复古,青橙复古_02,train,0
rcp_1bbf87603efd92e6,胶片复古,胶片复古_04,train,0
rcp_1bd37e852c0ef1da,青橙低饱和,青橙低饱和_05,train,0
rcp_1be12fcb9e43d077,暖调品红,暖调品红_01,train,0
rcp_1bf49ba10bd141e4,青橙低饱和,青橙低饱和_06,train,0
rcp_1c0c81642eda944a,撞色暖调,撞色暖调_06,train,0
